source_image,output_image,brightness,contrast,saturation,hue_shift,gamma,temperature
office_20260702.jpg,office_20260702_variant_001.jpg,0.0000,0.9667,0.8700,-5.7143,0.8500,-12.6923
office_20260702.jpg,office_20260702_variant_002.jpg,-15.0000,1.1333,0.9900,-3.4286,0.9000,-10.3846
office_20260702.jpg,office_20260702_variant_003.jpg,15.0000,0.8556,1.1100,-1.1429,0.9500,-8.0769
office_20260702.jpg,office_20260702_variant_004.jpg,-22.5000,1.0222,1.2300,1.1429,1.0000,-5.7692
office_20260702.jpg,office_20260702_variant_005.jpg,7.5000,1.1889,0.7740,3.4286,1.0500,-3.4615
office_20260702.jpg,office_20260702_variant_006.jpg,-7.5000,0.9111,0.8940,5.7143,1.1000,-1.1538
office_20260702.jpg,office_20260702_variant_007.jpg,22.5000,1.0778,1.0140,-7.6735,1.1500,1.1538
office_20260702.jpg,office_20260702_variant_008.jpg,-26.2500,1.2444,1.1340,-5.3878,1.2000,3.4615
office_20260702.jpg,office_20260702_variant_009.jpg,3.7500,0.8185,1.2540,-3.1020,1.2500,5.7692
office_20260702.jpg,office_20260702_variant_010.jpg,-11.2500,0.9852,0.7980,-0.8163,1.3000,8.0769
office_20260702.jpg,office_20260702_variant_011.jpg,18.7500,1.1519,0.9180,1.4694,0.8045,10.3846
office_20260702.jpg,office_20260702_variant_012.jpg,-18.7500,0.8741,1.0380,3.7551,0.8545,12.6923
office_20260702.jpg,office_20260702_variant_013.jpg,11.2500,1.0407,1.1580,6.0408,0.9045,-14.8225
office_20260702.jpg,office_20260702_variant_014.jpg,-3.7500,1.2074,1.2780,-7.3469,0.9545,-12.5148
office_20260702.jpg,office_20260702_variant_015.jpg,26.2500,0.9296,0.8220,-5.0612,1.0045,-10.2071
office_20260702.jpg,office_20260702_variant_016.jpg,-28.1250,1.0963,0.9420,-2.7755,1.0545,-7.8994
office_20260702.jpg,office_20260702_variant_017.jpg,1.8750,1.2630,1.0620,-0.4898,1.1045,-5.5917
office_20260702.jpg,office_20260702_variant_018.jpg,-13.1250,0.8370,1.1820,1.7959,1.1545,-3.2840
office_20260702.jpg,office_20260702_variant_019.jpg,16.8750,1.0037,1.3020,4.0816,1.2045,-0.9763
office_20260702.jpg,office_20260702_variant_020.jpg,-20.6250,1.1704,0.8460,6.3673,1.2545,1.3314
office_20260702.jpg,office_20260702_variant_021.jpg,9.3750,0.8926,0.9660,-7.0204,1.3045,3.6391
office_20260702.jpg,office_20260702_variant_022.jpg,-5.6250,1.0593,1.0860,-4.7347,0.8091,5.9467
office_20260702.jpg,office_20260702_variant_023.jpg,24.3750,1.2259,1.2060,-2.4490,0.8591,8.2544
office_20260702.jpg,office_20260702_variant_024.jpg,-24.3750,0.9481,1.3260,-0.1633,0.9091,10.5621
office_20260702.jpg,office_20260702_variant_025.jpg,5.6250,1.1148,0.7548,2.1224,0.9591,12.8698
office_20260702.jpg,office_20260702_variant_026.jpg,-9.3750,1.2815,0.8748,4.4082,1.0091,-14.6450
office_20260702.jpg,office_20260702_variant_027.jpg,20.6250,0.8062,0.9948,6.6939,1.0591,-12.3373
office_20260702.jpg,office_20260702_variant_028.jpg,-16.8750,0.9728,1.1148,-6.6939,1.1091,-10.0296
office_20260702.jpg,office_20260702_variant_029.jpg,13.1250,1.1395,1.2348,-4.4082,1.1591,-7.7219
office_20260702.jpg,office_20260702_variant_030.jpg,-1.8750,0.8617,0.7788,-2.1224,1.2091,-5.4142
office_20260702.jpg,office_20260702_variant_031.jpg,28.1250,1.0284,0.8988,0.1633,1.2591,-3.1065
office_20260702.jpg,office_20260702_variant_032.jpg,-29.0625,1.1951,1.0188,2.4490,1.3091,-0.7988
office_20260702.jpg,office_20260702_variant_033.jpg,0.9375,0.9173,1.1388,4.7347,0.8136,1.5089
office_20260702.jpg,office_20260702_variant_034.jpg,-14.0625,1.0840,1.2588,7.0204,0.8636,3.8166
office_20260702.jpg,office_20260702_variant_035.jpg,15.9375,1.2506,0.8028,-6.3673,0.9136,6.1243
office_20260702.jpg,office_20260702_variant_036.jpg,-21.5625,0.8247,0.9228,-4.0816,0.9636,8.4320
office_20260702.jpg,office_20260702_variant_037.jpg,8.4375,0.9914,1.0428,-1.7959,1.0136,10.7396
office_20260702.jpg,office_20260702_variant_038.jpg,-6.5625,1.1580,1.1628,0.4898,1.0636,13.0473
office_20260702.jpg,office_20260702_variant_039.jpg,23.4375,0.8802,1.2828,2.7755,1.1136,-14.4675
office_20260702.jpg,office_20260702_variant_040.jpg,-25.3125,1.0469,0.8268,5.0612,1.1636,-12.1598
